Sentence,Opinion
no i wouldn ' t think so - bug 121623 is just a way of passing context but it doesn ' t change how decoration is done,0
"John, the Sun Java 6 Update 1 packages work perfectly, and they cause no memleak. I am using eclispe for a long time, and it's working perfectly.",1
"Just so people know, there doesn't seem to be any need to update the display driver, just mesa and the DRI driver (and libdrm). Unfortunately, current git master has a pretty massive bug that breaks display of textures when auto-generation of mip-maps is use",0
This bug is now fixed in the latest Linux kernel git.,1
it's not a super common bug but when it hits the results are brutal.,0
"ok, i agree that fixing it is better than removing.",1
that's not an evolution bug,0
"I have the same problem and work with the same unit (LT2610) as Guillaume has. I had installed with the latest *buntu distro (hardy) with the lates geode driver(2.9), but still no luck.",1
on my m1330 neither internal or external microphones are working!,0
"agreeing with dimitrios -- such packages should be removed, fixed, or moved to a broken-packages repository if you want a place to put them aside for interested community members to take a shot at fixing them.",1
"Just tried Samir's suggestion of removing dosfstools, and it did not help.",0
sounds good from the description,1
"it looks like you are also counting empty lines, which doesn ' t seem overly useful to me.",0
Yes thanks very much for eclipse 3.4 in karmic.,1
"Dear Kjell Braden, I still have the issue of not being able to restore from created aptond.",0
"Hmm, Rocko, sounds so good ;)",1
Thanx for the info. Sorry I can't help.,0
I found the same as anthony. Running sudo aptitude purge xserver-xgl fixed the problem for me,1
And please don't reset the bug to new.,0
Bug has disappeared after upgrading to kernel 2.6.22-7. Good work!,1
"i don ' t have a consistent set of steps to reproduce the issue, although i think it may be related to moving from one line to the next",0
I'm using 2.6.22.9 and the performance is pretty good even several meters away. Much better than previous 2.6.22 kernels.,1
Kubuntu 7.10 x86 Updated Flash player yesterday after which Flash wouldn't work in Firefox.,0
I've added initial atom and rss2 capabilities to the document listings. This can be tested on the test zope on arana. The way to get the feeds for now is to append /atom or /rss2 to the url of the document listing object.,1
"I don't have to touch the theme settings or anything. Some of the differences are just relocated elements, but there are also several new elements, describing the following",0
i've tested and it and it works.,1
"Brian, this fix wasn't released in time for the beta!",0
"Yes, I can still reproduce this.",1
"i don't think it is necessary to touch the other entries than vesa, at least not for gutsy.",0
"In case it helps, here's a debdiff applying Peter Clifton's EXTRA_CFLAGS fix. I can confirm that it fixes my sound",1
unfortunately this doesn't fix the other problems such as java and evolution as james has pointed out.,0
"I agree auto dectect string encoding is difficult, especially short string like audio file tags, there no perfect solution.",1
"the old driver is not only breaking my X-System, but also my balls . No point having an updated driver that doesn't actually work.",0
thanks peter. i agree with you. i ll move the request to kdelibs even if i m against too.,1
mitch: i do not have that problem with the usplash,0
at the moment i am happy with this workaround solution.,1
"i cant get back to f7, and top shows xorg eating 100% of the cpu.",0
This looks like it is fixed in the Hardy alpha 2 with the 2.6.24 kernel. The newer b43 driver seems to work quite well.,1
"It doesn't add the job number; it replaces the document name with a job number, which is why it's not an acceptable default.",0
It's fixed for me in Intrepid updated.,1
Desktop effects are not enabled. This problem is VERY annoying because we are 5 users on the same PC and closing/open sessions all the time is not a long term solution.,0
Yes Sebastien It's fixed for me in Hardy.,1
but I now get errors regarding PnPBIOS.,0
"This appears to be fixed upstream (around version 5.10.27), so it should be fixed in Hardy (where we have 5.10.30 currently).",1
Sigurd Hogsbro: It is not specific to the AM64 version.,0
This seems to be resolved. I've upgraded to 9.04 on both my laptops and I haven't had backlight issues since.,1
This patch is not acceptable.,0
The fix explained by dailyglen worked for me.,1
"no, there's no reason for not applying the patch, imho it's clear and safe enough to me (without being a developer/packager of that package).",0
"I've got the same card, chipset and OS - and exactly the same problem",1
it didn't helps me on 8.10,0
I can confirm this issue....,1
"I ran inotifywatch on all of the top level directories, and got the following results. I also tried > sudo rm -rf /tmp/* && sync && sudo sh -c 'echo 3 > /proc/sys/vm/drop_caches' but the performance problem persisted.",0
"I've the same problem, and I'm getting it with Fedora 7 too.",1
"2Rocko: that's strange. It seems to be fixed in 7.12 fglrx release, at least for me.",0
"Same crash and respawn problem here. The only way to fix this is to shut down evolution, which really stinks.",1
"Adding a UI element for a few hardware specific issues does not seem like a good idea, especially when I can guarantee upstream won't take those patches.",0
"I fully agree with Dan here, and I also fully admit that I don't have the slightest clue on how to implement this technically :)",1
"sadly, turning of acpi & hpet did not work.",0
The workaround that Peter Clifton posted also resolves the issue I had connecting to my local WPA-PSK secured network.,1
shinyblue: the download link doesn't work.,0
I'm in the same situation that waratah.,1
"i dont think that waiting for edgy to be released will work, since the problem seems to be related to gnome 2.16.",0
we are now using this feature in gimp trunk. seems to work nicely with intltool 0.40.0. thanks again for this change,1
"but given that the livecd is the installation option that is pushed by ubuntu, this problem is pretty unacceptable in my opinion.",0
"Ah, that is helpful. I adapted the script dl-workflow.sh to go to both servers for now, and ran it once manually.",1
libopenobex1 does not appear to be available from the main Gutsy repositories. One place to retrieve it from is here: https://launchpad.net/ubuntu/gutsy/i386/libopenobex1/1.3-3ubuntu1,0
hi david - this patch looks very good,1
i therefore conclude that it is not a very common configuration.,0
"The root cause of this is bug 157126, ie empty --with-default-mozilla-five-home passed to firefox configure. It's getting fixed by the mozilla team.",1
"@Tyson: I don’t know about the others, but I at least don’t mount the home directory.",0
"Hi Leann, I have tried your suggestion and it worked! I have booted 10 times without a crash. Thanks a lot, you made my day! Thomas.",1
"dan: i don't think steve saw your last comment - he said: ""please resubscribe us where there is"" and looking at the subscribers, i don't see him or ubuntu-universe-sponsors there currently...",0
It worked fine for me : that damned annoying thing I've had for maybe 4 months has at last gone away !,1
I am not perfectly sure that it is network-managers fault either. I properly removed it but the difference wasn't that huge.,0
"Same with the last version, see the Bug #136777 It as been nominated for gutsy, but it as been marked as duplicate of this ...",1
"i thought it would be nice to have one workspace "" error "" , but i don ' t think that markers on the workspace root will ever appear in the problems view",0
"mithro, i'm in exactly the same boat as pauleewaulee.",1
"new update to alsa-mixer today july 31, but this problem still there!",0
Eclipse 3.4 installed from source works well in Hardy.,1
"path, but there s no reason why it should, since i m falling back to a very standard call to component.utils.import",0
"as jani reported above and i can confirm, this problem is still there running with fully updated bios.",1
"SVN releases of madwifi drivers didn't work for me at all, in particular probably because my wireless network is ad-hoc. Although that is supported by the madwifi drivers, it just doesn't work for me.",0
i tried it on hardy heron alpha2 and it seems to be working fine.,1
"On a Toshiba Satellite U200, sound is OK on feisty and gutsy (without any modification). The only remaining troubles are : - mute, as explain in comment #96 of ricolai). Look at bug #151108. - [0-50%] level of master channel that don't work.",0
I just experienced this on Karmic Koala. I took ethical's suggestion to find other running package managers and found Synaptic was running in the background (not sure yet why): A quick 'sudo killall synaptic' solved the problem. It would be nice if the error message emitted by tasksel/aptitude in this case were more specific than 'aptitude failed (100)'. apt-get tells the user if another instance is running.,1
"I'm don't think the rotate gesture for switching tabs is nearly as useful, discoverable, or a good fit as the other gestures are.",0
I've fixed the sound problem on my Dell Inspiron 1420 running Hardy and adding the following to,1
Well mine is not working on my D800 dell latitude. What are the settings that everyone is using?,0
"Thank you for your report. we are closing now this report, please, reopen it at any time if you have more related info. Thanks for your contribution.",1
"and unfortunately, by now /var/lib/dpkg/updates is empty, too.",0
I can confirm this bug on my Thinkpad T60.,1
"I used the lice cd but there is no solution yet: the cupsys is ""old"" and the Dymo was not recognized.",0
"yes, exactly as it works in all other views that allow linking",1
0.9.7-3 does not fix this problem.,0
I had the same problem too on my friend's laptop.,1
I can't use the workaround as my apt-cache archive is empty.,0
"Thank you very much for the help, Steve! I would try. I will write as act in Jaunty. I hope soon I can sleep peacefully",1
Thus his post is unrelated to my original bug report for this regression.,0
i agree with this.,1
"hello, in my case it was not a bug, thanks to sa?vann i could correct the problem :",0
"i encountered the exact same problem, and just like sammiam wrote, it was the dfe-350tx+ adapter that caused the problem.",1
"sa?vann carignan, i can not reproduce this bug editing the ""kernel"" line (disabling usplash).",0
This is also an issue with the Acer Aspire 6920G notebook.,1
"We can't change the package name so close to 7.10, but at least the description fixes are trivial.",0
I have just tested it and it works fine. Thank you.,1
i also tried epiphany and it does not work as well.,0
I believe that it has patches that fix this problem. Thank you. Ted.,1
i don ' t think that replacement functionality was ever implemented,0
I solved. Thanks.,1
"hurestore is not a finished program, and would better be removed from the repositories.",0
I finally made sound work on Inspiron 1720 and kernel 2.6.22-14-generic by doing the following,1
There is very little point in having +packages if it leaves out uploads whenever it feels like it.,0
"Okay, I'm sure your workaround is the way to go, it's just the implementation which doesn't seem to be the same between my computer and yours.",1
"tayhe, I think it is unwise to dup evey X-crash bug onto this particular one.",0
"Having upgraded to Gutsy, transfer speed is a lot faster for me . It is a definite improvement though, no question.",1
"Hello, I could reproduce the bug by reproducing the steps described by LKRaider on the latest live cd (daily - 2008/04/19). However I was unable to reproduce the bug that makes any window opens in background (ie launch 'nautilus' by a shell, the focus will be kept by the shell's window).",0
"brian, tormod you are absolutely right.",1
"marco, this bug does not meet the criteria for a stable release update and is being marked as won't fix for kernel version 2.6.22.",0
I also get this behaviour i Hardy.,1
but I don't know what that is,0
"Johannes, I agree with Peter, there is a 180 second delay in the code in an ""if"" block just before the suggested location for the patch.",1
it doesn't work with the setpci-hack and it doesn't work with the normal feisty kernel.,0
Thanks for your hard work on the mtp plugin. So far it works great.,1
but the command doesn't work.,0
"Ok I have follow the guidelines, and I attached the correct patch. Thanks Martin and all for the help.",1
on my side nothing has changed yet.,0
"You're not going to believe this, but adding this to the default.conf file magically made it work",1
"the method platform.getresourcestring(bundle,string) is not deprecated at this time",0
"comment on attachment 525331 new version with a working test i agree that changing the test should make the test pass, but it seems like window.close() being invoked inside a content window is still a thing that can happen and should also be tested",1
"So as it is not the devel branch (which is 2.6.25), I don't think they have changed something in there API.",0
Thanks for pointing this out. The same worked for me as well!,1
i don't believe that amarok its self does what you're talking about.,0
I have the same problem. No xchat icon. Clean 7.10 install. I'll let you know if it will change atfter a reboot.,1
"For me, this is a serious bug. In fact, contrary to my previous comment, the system won't really boot after this - instead it will give the ""give root password for maintenance"" prompt when it fails to fsck the non-root filesystems (/home, etc..) because it can't find the device nodes, Martin, I have tested your workaround with Openoffice 2.2 and in my Pc, Openoffice doesn't start without the package openoffice.org-gnome. I don't know what happen with Openoffice 2.3.",0
I had the same problem too on my friend's laptop.,1
We don't have query mysql-query-browser in 12.04 LTS,0
"It would be usefull to add a \""Swap\"" button to quickly change the aspect ratio between portrait and landscape.",1
i can confirm that updating to the version in hardy-proposed did not fix the problem.,0
HURRAY!! My laptop just booted on 2.6.24-2-generic Hardy Haron kernel!!!!!!!! Thanks to developers.,1
I REALLY have no stomach left for manually compiling packages and sorting out compile errors one by one,0
"Horre, thx - this seems to be a reasonable suggestion.",1
Sounds like a completely unrelated issue. - mdz,0
"As of today, I have been hit with this bug too.",1
"I think, that toshiba a200 does not have same sound card as a toshiba u305.",0
"I have the same problem, with my ATI card and non-proprietary drivers.",1
so that isn't an option for a fix.,0
"Thanks, your hotfix fixed this problem, however on the past KrushDay someone mentioned a similar issue pressing Alt+PrintScr which is still present for me.",1
It doesn't solve the problem for the INIC-1530L based external hard drive.,0
"I agree with Adam: this software is not working at all, it's really better to remove it very quickly.",1
Setting importance to high. I can confirm the 'could not open cache' error and reinstalling adept does not resolve the problem.,0
"I agree, I'd say it's an ifupdown bug.",1
the battery manager does not work correctly any longer.,0
"i have the same issue, compiz dies if it's larger than 2048.",1
No for me is not still an issue because now i change fax server and i'm not using hylafax. Thanks a lot for all.,0
"I am having same problems , Also having occasional stutters in picture",1
I've just retested my D40x. It is still not working.,0
"yes, you did understand correctly.",1
It worked well in alpha version but not now in beta version. I think that they couldn't fix this bug.,0
"Regarding the filter idea: it sounds good to me, but I think we should move the discussion about it to a separate bug.",1
I'm in the exact same boat as you craig.,0
This is very useful for those who are not familiar with all options available in the Preferences.,1
but Suspend still does not work. Hibernate works ok.,0
"The files are easily associated with the original package because it's part of the file name. Optionally, we can add some webservice calls like Celso suggests above. The buildds also need to be changed to strip these files out and put them in the build, of course. Job done.",1
"It seems strange that a fix has been in Hardy and for quite some time now, and yet Gutsy still doesn't have it. I can hardly imagine that ""stable users"" want the old package, seeing as it doesn't work.",0
"I'll try the new displayconfig-gtk from the upgrade of today 10/2. Weird thing is that sometimes 'screens and graphics' really sets the 1280x800 resolution so as long as you don't log out, you think everything is ok.",1
xjnumb: that's a different bug and specific to the i810 driver.,0
"According to related Mandriva bug, the problem seems to be with new glib memory allocator. Running vlc using : $ G_SLICE=always-malloc vlc works fine.",1
"No, problem solved, it had to do with reverse-DNS-entry. I am not using it any more, so I can not tell any more details about it, sorry.",0
"yeah, i do agree with endolith.",1
"i don t think you need the comment here. if you want to keep it, then i think we can just make it a generic comment and not mention content/chrometabs directly.",0
"Thanks for the report Susan Cragin , It has been a long time without any comment or a duplicate in this bug report and It is possible that the bug has been fixed. Thanks again and we appreciate your help.",1
I find the new way of selecting cursors not too user-friendly.,0
I can reproduce this here on my i830 based laptop with intel driver.,1
"a) for me this applet crashes several times a day and i dont think letting apport report a bug every time would help, but i dont see any progress here whatsoever...",0
Enable Hardy -proposed and install the -17.31 kernel which has SCHED_CGROUPS enabled. I believe it will have an effect on interactivity responsiveness.,1
What you are referring to is not the same as this bug.,0
I updated to version 1.0.15rc3. I packaged using the 1.0.14-1ubuntu2 patch and it worked as is. I haven't checked on any other cards but it works as a first aid for D630.,1
the problem was obvious so i didn ' t try running your example until now ..but i don ' t think that was the patch you wanted to provide,0
"Yes, i can confirm that too",1
the fn-f4 combo no longer works to suspend the machine - it doesn't appear to do anything as far as i can tell.,0
Thank you gomek for your info. Please kakashi can you confirm that your crash is the same that has reported gomek (See my last post).,1
So it is not an upgrade problem.,0
"I've also used make-vmpkg to make a package of the newest version of vmware player (version 2.0), but forgot to mention that in my previous comment.",1
".anyway, i tried your suggestion but it didn't work.",0
I see the exact same problem on my Thinkpad T41p with ATI Mobility Fire GL T2.,1
I don't think the problem is solved - just changed with different mixtures of cards and kernals.,0
"try this tutorial, it works for me(hp nx7400) (for red hat like change apt-get by urpmi )",1
no way i can reproduce this.,0
"while i agree that it is bad to break platform conventions, there is one example of a non-modal wizard dialog though",1
"peter, your solution merely causes the computer to ignore alerts by silencing the internal speaker. this is hardly the correct behavior.",0
Thank you for your bug. Marking confirmed since somebody else has the issue.,1
That's a different bug that only happens when you use the 'intel' driver instead of the 'i810' driver.,0
"Thanks, marking fixed as per comment #44",1
"Nope. My desktop only has IDE drives, and so does my laptop, so not sata-related.",0
i agree with what mike said - we (it) do a lot of last minute work and would have been able to handle this one too.,1
I have no NTFS Partitions and still get this error.,0
Thank you! I'm glad to see that the 2.6.24-11-generic kernel I recently installed has fixed this!,1
"stijn gysemans, this appears to be a different problem than originally reported, it is better to open a new bug report to avoid confusion.",0
"i agree that we cannot count empty comments here by default, because comment styles differ by language",1
"The classic update manager can't be used to update a plugin installed in a global read-only location. It tries to install it to your user plugin location, but when you restart, the global directory overrides the user-specific one.",0
It might make sense to determine the initial aspect ratio this way.,1
"However, Tim, that means that you can't possibly have tested the feisty-proposed packages, since they did not exist yet.",0
i use hardy.the same problem occoured to me when i had stopped the tasksel in the middle.,1
"we should absolutely not change that behaviour, and particularly not now.",0
I'm confirming that this bug is currently fixed in hardy.,1
"I tried installing ATI Catalyst 7.11, but I get extremely choppy video. Didn't even try to suspend/resume because something was obviously wrong. I had the same problem when installing the previous version of ati's driver.",0
Thanks for the extra information regarding running the command on a non-fragmented file system. Your testing confirms that it is beneficial to have the file systems defragmented before using GParted to manipulate the partitions.,1
"hi, thanks for doing some work on this, but for me it doesn't work.",0
Same here - and no bluetooth devices!,1
there are some facts that are different:,0
Sounds reasonable.,1
"a problem with this patch is that the session data is still stored in memory while the app is running, and by removing this pref, there's no way to disable that.",0
"Thank you for fixing this bug so fast, so I just need to wait for the next release.",1
That's strange because I've an integrated Intel soundcard.,0
I agree this is a better way of doing it.,1
module is not loaded properly.,0
"Had similar issue however I solved my problem by going into compiz settings, general options, focus & raise behaviour tab, then changed focus prevention level to low.",1
i am unable to ssh to machine when it is freezed.,0
"I can confirm this on an Asus F3Sv with (K)(X)Ubuntu 8.04, clean install.",1
"I was getting the error, and installed the gnome-vfs-obexftp package as recommended. Now I just get a different error. Couldn't display ""obex://[xx:xx]"". Check if the service is available. I am trying to connecting to a bluetooth keyboard.",0
It is very useful tool and I use it weekly to manage my photos and videos.,1
Sslaxx and me can't boot even with the flags,0
"I'm pretty happy with openSuSE 10.3 and Mandriva 2008.0, and tonight I will make up my mind on which shall remain in this laptop as I need the rest of the space to try another distro.",1
This seems strange behavior as installing teneo should not interfere with the rest of the eclipse installation.,0
Great!! Thanks and congratulations! I will try this afternoon.Thanks,1
"no, it is not fixed!",0
i'm in agreement on if it works in windows it should work in linux philosophy.,1
I don't believe the GUI reads your .bashrc so you could set it in /etc/skel/.bashrc,0
"yeah, that's exactly the problem to me.",1
"No, it does not. Installing pommed from the repo fixes the display backlight, but the keyboard backlight is stilll unresponsive.",0
"And yes, I am also running 64 bit",1
"but so far me and Alexander are unable to reproduce in gutsy and sid, Im using 386/686 and im unable to reproduce in the ways you explained.",0
Confirming the ubuntustudio task of this bug,1
"The workaround from kesomir is not suitable for me, since i don't have access to the ldap-server.",0
"it looks good, and i verified that it works for internal and external jars, and that it doesn t break bug 297039",1
"Please don't use bug reports as support forums, if you want to ask someone a question, e-mail them directly.",0
comment on attachment 444422 small icons in thread view seems to work and looks reasonable.,1
"Sorry, but this has nothing to do with flash, although the root cause might be related.",0
"Daniel very quickly fixed that problem, and I've no issue with how karmic is today, nor with the default being set to off.",1
"Its is no real big deal, just go to places and computer and remount it, takes seconds, this bug does not happen to everyone so I've heard, but it has been around since at least feisty.",0
"Thanks for your effort John. Basically, we have a typo in your changelog. Btw, I have been using java6 on Feisty and has no problem here",1
Unfortunately it seems this bug is still probably an issue.,0
I still have this problem with Gutsy RC Desktop CD as well.,1
I hadn't noticed that I didn't update xorg-server because apt thought my version was the higher one.,0
I can confirm that the issue still exists in the latest kernel release 2.6.24-8.14-generic,1
"Changed back to incomplete, since it wasn't solved by Gutsy.",0
"Let me tell again, exactly like you say here, there should be two taskbars, one main one and a special icon only taskbar for important/background apps.",1
"no, the problem has not shown up recently.",0
Seems to be solved by Gutsy.,1
"I can't find update-initramfs from the lrm scripts, so nothing to fix",0
It seems to be fine in Intrepid,1
The backports module does not fix sound on my D630.,0
comment on attachment 444422 small icons in thread view seems to work and looks reasonable.,1
it is not yet included.,0
Also removing gnome-screensaver and replacing it with xscreensaver fixed the problem for me... although i do like gnome-screensaver much better,1
your problem is not related to this bug.,0
"yeah, pulling the checker entirely for windows ce would be fine (until such time that users can do something about it)",1
"Oh. Important note - experienced on i386, so not an amd64 exclusive issue.",0
"This appears to be fixed with hardy heron, been running without compiz for the past few days, and the bug has not appeared again.",1
but i must say that i don't think these bugs should all be marked dups.,0
"Thanks proycon, Your suggestion seems to have worked for me. Everything looks like it worked and I'm running at full resolution. Thanks!",1
My dell Lattitude D610 sound worked in Gutsy and intailly worked in intreped but nolonger works with newest kernal,0
I think this is a better package,1
still happens on maverick. i noticed it happens much more often if cpu is busy and there is also big network traffic.,0
"I confirm this bug for Ubuntu 8.10 Alpha 2 64-Bit on a MacBook Pro rev. 3, fully updated.",1
@sebastian kapfer i think that you misunderstood this bug.,0
"Martin and Luca, I finally had the time to set up a feisty machine. I checked and Luca you are right, I can confirm that this bug is obsolete for Feisty.",1
i couldn't figure out a more useful way to debug this.,0
the edgy live-cd works very well for me.,1
"Well, considering I wasn't able to describe how to reproduce the bug in the original report, and noting that the original report was almost five years ago, I could not possibly even begin to confirm the continued existence of the bug right now.",0
I'm on this.,1
"Synaptic and apt-get can't find linux-backports-modules-2.6.22-14-generic, even after enabling the backport repository... The bug is still present in Ubuntu 7.10 RC.",0
Sound does not work on my dell d800 latitude either.,1
possible the new packege is not updated on all mirrors yet.,0
"Normally, all bugs on kernels must have some information described at: But because of the nature of the bug report, I am confirming without it.",1
I've installed it from the ppa (on jaunty) and restarted firefox but don't see the extension listed in the add-ons.,0
"Martin, Actually I have done some more testing and discovered that when index merging no physical reads were done (they are all cache hits) so ext3 problem is handling a ton of small writes",1
the ops crash seems to be not related with the rest of reports.,0
i'm having the same problem on a Hardy Heron fresh install,1
issue still seen on Gutsy Beta with Dell Dimension 3000 onboard audio card,0
"tried solution suggested by danielhollocher, it worked",1
After reading again and just have followed a forum link in Ubuntu Forums i saw i maybe have chosen the wrong bug to comment. Sorry !,0
I think I have found a fix for the issue of the garbage at the right/bottom when forcing compiz to start despite the failed texture size.,1
i don't have a focus problem in ubuntu 9.04 jaunty alpha 5.,0
I had the same problem described.,1
this log doesn't look like the latest.,0
I had the same problem with my T60.,1
I still can't change my screen resolution.,0
"@Jacob: -i810 and -intel have a different codebase, both need to get fixed and both work now. There is a bug in the intel driver though that makes video playback crash on older cards (i830, i915), but those cards work fine with the i810 driver.",1
unfortunately it had some bad side effects that caused breakage for people and had to back the patch out.,0
"the fix works for me, but since we are moving this to 3.7.1 i will hold off on my +1.",1
"However, when trying to compile the driver, as explained by ggepz, it fails with many errors.",0
I can just say that I have the same problem. The disabling of the exchange operations plugin does not help.,1
This is still broken in karmic.,0
"this patch is quite nice because it makes the markup more consistent and it allows someone to set the toolbar mode, possibly attach a palette, and so on..",1
"No, unfortunately the display-brightness problem still remains - at least I didn't manage to make it work.",0
"It is a definite improvement though, no question.",1
"It is compatible to the kernel, but it needs a newer python-launchpad-bugs in Feisty. Also, I am not terribly convinced that we need it in feisty, since we disabled the automatic crash notification by default.",0
the above attached patch solves this bug.,1
i'm sorry but i can't test this fix.,0
"comment on attachment 525331 new version with a working test i agree that changing the test should make the test pass, but it seems like window.close() being invoked inside a content window is still a thing that can happen and should also be tested",1
This problem is still very annoying to me on Lucid.,0
Solution that works for me,1
slayer: It has been over a year with no solution for this bug.,0
This now works for me in Jaunty as of yesterday afternoon/evening.,1
doesn't work in edgy rc1.,0
"OK, it looks like the problem is fixed for me in both the stock 2.6.35 and +iofix provided by Brian Rogers. There's still [kdmflush] and a bunch of other programs causing a lot of I/O wait (according to top and iotop), but the system is MUCH more responsive. Usually when the problem occurred, the HDD light would go solid for several moments before I could use my system again. Now, the pause is brief, much less than two seconds if it ceases being responsive at all. I mentioned earlier that the problem still occurred shortly after boot, but that was the HDD light I was referring to, not the perceived responsiveness of the system. So for me, the solution is to upgrade to 2.6.35.",1
Because I have packages installed from a PPA I get an error and can't continue with the upgrade.,0
"In all cases, the broken I/O has been fixed by the mainline kernel install.",1
"i tried to add another file and finish the session, but that didn't work either.",0
"Thanks for your bugreport, fixed in my local branch and will be part of the next upload. Cheers, Michael",1
"That's a 2.6.35 kernel, and Lucid has a 2.6.32 kernel by default. So you can't tell whether 2.6.35 or the patches I added on top of it solved the problem, unless you also test the unpatched 2.6.35.",0
"i have the same issue, compiz dies if it's larger than 2048.",1
this is not an nvidia problem as the same happens to me with ati's fglrx 8-2 if i try to use aiglx.,0
"well, i believe you are right in the sense that if the folder to which you are downloading the video is currently open/visible, the thumbnailer tries to update the thumbnail and go crazy.",1
"I've installed the iofix+19.28 kernel for Lucid from Brian Rogers. So far, it seems to work. When the machine is booting up, it still seems to have the problem, however. iotop (which now works appropriately) reports the [kdmflush] service as consuming 99.99% I/O when the system is unresponsive, but I haven't noticed it in the past 24hrs or so (my uptime is less than 48hrs currently). I will continue to monitor, and I'll post back with results.",0
"yes, seems to be really fixed. Thanks Michael for the patch and the upload.",1
"oddly, i can't confirm those observations.",0
"I got this today too, but for me it works after the panel gets restarted.",1
"It's not a question of stablility, WebKit would have to be in main for Epiphany to be able to built with it. WebKit is not a candidate for main yet, and probably won't be until KDE start requiring it for KDE 4.1.",0
"thanks milan, with patch 01_null_strlen.patch solve the problem (ubuntu 7.10).",1
"Thank you for your help, but I still have the problem.",0
Thanks to Patrick for the package. I tested it under Hardy Heron with my Sony Vaio SZ4MN integrated webcam and can confirm it works very well.,1
"However one other person says they've not been able to reproduce that. So, I can't say with certainty whether that's the case.",0
"Yorick, I completely agree with you.",1
"I'm trying right now Mandriva Spring 2007 and this is the same thing, the SATA Controller doesn't find any harddrive",0
I have the same problem on a Dell Vostro 1700. I have compiled and installed alsa-driver 1.0.15rc1 from source. Then the sound works OK.,1
"Thanks for taking the time to report this bug and helping to make Ubuntu better. Unfortunately we can't fix it, because your description doesn't yet have enough information.",0
martin: your workaround works for me!,1
"Applets should not be larger than the viewable area, if there's an applet above it, then the lower applet should get a smaller sizehint, and resize if necessary when it's the active applet (and therefore the only one on the screen)",0
I have the same problem as Steve,1
"i'm not using nv, i use the nvidia driver, but that is beside the point.",0
This recently became fixed for me.,1
Your information did not get attached to the bug report.,0
"Yes, that's true -- the current graphing code, which uses the graphical library \""Guppi\"" which is a dead project, can only produce the on-screen diagrams *and* print these to postscript, but it cannot export these diagrams into pictures that are embedded in a HTML-file.",1
"not windows-specific -- i get a crash from following those steps under linux, at least.",0
pm-suspend works fine for me with the generic ATI driver.,1
"I do not have the specific hardware, so this bug is not going to be resolved without some testing.",0
"I am also getting this with hardy beta 1 (all updates applied as of march 26 2008) use the scroll wheel to increase the volume and the applet goes down in volume and the applet shows mute, and other strange behavior",1
Hi all this happens also in ubuntu server 7.10. It's very annoyng.. in Debian Lenny this does not happen,0
"Likewise, i'm also experiencing this.",1
i was able to find the nls class but i didn ' t find the bundlefinder class,0
I'm having the same issue. Only just noticed today.,1
I'm not convinced this is a xubuntu bug.,0
"Anyway, I agree with you in that it sounds stupid that rebuilding the",1
so that isn't the problem with mine i think.,0
yes that's true the bug is still there but at least both packages are in the repos...,1
thi is not a solution.,0
It fixed the problem for me too.,1
"Well not so easy since there are problems with wi-fi, but since I'm using a live usb with some free space for changes,",0
