Bug Number,Sentence Number,Sentence
110797,5.1,I've tested this behavior by inserting an Audio CD into my Intrepid Ibex system and observed that right clicking the desktop icon allows me to "Open" the CD via a music player and "Browse" invokes Nautilus.
110797,5.2,Subsequently_DOUHAO_ I am setting this bug to Fix Released.
110797,5.3,Retromingent - your question is best addressed at the http://answers.launchpad.net/ubuntu/ .
110797,5.4,Thanks!
110797,6.1,Brian_DOUHAO_ I don't think you are fully understanding the problem here.
110797,6.2,There isn't an easy to find way for the end user to set an audio player default that is different than the three "approved" applications (Sound Juicer_DOUHAO_ Rhythmbox_DOUHAO_ and Banshee) in Ubuntu.
110797,6.3,Yes_DOUHAO_ you said that you could right click on the audio cd and are then presented with the choice to " 'Open' the CD via _A_ player' (my emphasis).
110797,6.4,The problem is that there is no option to choose another player.
110797,6.5,You are only allowed to use So the user might try to go under Preferred Applications and the Multimedia tab as this is where it was handled in previous releases of Ubuntu and the moniker "Preferred Applications" appears to fit the intent of what the user wants to do (as Retromingent points out).
110797,6.6,It turns out that you can set the default multimedia handling properties of Gnome under Nautilus.
110797,6.7,Just Open Nautilus (Places -> Home from the top Panel)_DOUHAO_ then Edit -> Preferences -> Media tab.
110797,6.8,Here you can choose how to handle media_DOUHAO_ but ONLY with Sound Juicer_DOUHAO_ Rhythmbox_DOUHAO_ or Banshee (if it is installed).
110797,6.9,There is no option to configure the use of another player AND this isn't the most logical (for the average user) place to configure this behavior.
110797,6.10,One more thing that compounds the problem is the Ubuntu Help pages (in Hardy at least) state the following with regards to this issue: "When you insert an audio CD_DOUHAO_ the Sound Juicer CD player and ripper opens automatically.
110797,6.11,If you are connected to the Internet_DOUHAO_ Sound Juicer will display the CD artist_DOUHAO_ album and track names.
110797,6.12,To play the CD_DOUHAO_ click the Play button or press Ctrl+P.
110797,6.13,To play a particular track_DOUHAO_ double-click on the track or select the track and click Play.
110797,6.14,As an alternative to Sound Juicer_DOUHAO_ the Rhythmbox Music Player is also able to play CDs.
110797,6.15,Simply insert a CD_DOUHAO_ ignore or close Sound Juicer_DOUHAO_ start Rhythmbox and double-click the audio CD item in the Devices list." The last paragraph is terrible advice.
110797,6.16,If Ubuntu stands for the idea that it is the Linux for human beings (and I fully believe that it is).
110797,6.17,We should look at the idea that a person should ignore the automatically started program (Sound Juicer) and then start another program when they want to listen to a CD as fundamentally anti-user.
110797,6.18,And I honestly think that the only reason that the documentation is written that way_DOUHAO_ is because the instructions for setting an alternative action for CD audio (even for just the approved actions) is convoluted and unintuitive and therefor broken with regards to the central premise of Ubuntu.
110797,6.19,Beyond that_DOUHAO_ there should be an easily identifiable way for the average user to add to the list of applications that can handle removable media.
110797,6.20,As far as I can tell_DOUHAO_ there isn't one.
110797,7.1,I contend that if these problems still exist in Intrepid Ibex_DOUHAO_ that a fix has not yet been released.
110797,8.1,Jim J - This bug report was originally about "Open" and "Browse Folder" behaving in the same way_DOUHAO_ which they don't in Intrepid Ibex which is why I closed the bug report.
110797,8.2,Retromingent's wasn't specifically about the original issue this bug report was about.
110797,8.3,However_DOUHAO_ the "Media Handling" tab in Nautilus's preferences allows one to choose "Open with other Application" which I think qualifies as another player.
110797,8.4,Issues with the Ubuntu Help pages should be filed as bugs about the 'ubuntu-docs' project.
110797,9.1,Thanks_DOUHAO_ Brian_DOUHAO_ I will do that.
110797,9.2,It is nice to see that Ibex will have an Open with other Application.
110797,9.3,I appreciate your clarifications.
110797,9.4,Jim On Tue_DOUHAO_ Aug 19_DOUHAO_ 2008 at 4:20 PM_DOUHAO_ Brian Murray <email address hidden> wrote: > Jim J - This bug report was originally about "Open" and "Browse Folder" > behaving in the same way_DOUHAO_ which they don't in Intrepid Ibex which is why > I closed the bug report.
110797,9.5,> > Retromingent's wasn't specifically about the original issue this bug > report was about.
110797,9.6,However_DOUHAO_ the "Media Handling" tab in Nautilus's > preferences allows one to choose "Open with other Application" which I > think qualifies as another player.
110797,9.7,> > Issues with the Ubuntu Help pages should be filed as bugs about the > 'ubuntu-docs' project.
110797,9.8,> > -- > Audio CD not handled correctly > https://bugs.launchpad.net/bugs/110797 > You received this bug notification because you are a direct subscriber > of the bug.
110797,9.9,>
114730,1.1,Binary package hint: aide
114730,1.2,aide Version 0.13.1-5 _DOUHAO_ ubuntu 7.10 (gutsy)
114730,1.3,Daily AIDE Report says: ---8<---- premature termination - Daily AIDE report for $HOSTNAME The cron job was terminated because lock /var/run/aide/cron.daily.lock could not be obtained.
114730,1.4,---8<---
114730,1.5,Creating /var/run/aide/ and changing ownership via: sudo mkdir /var/run/aide sudo chmod root:adm /var/run/aide
114730,1.6,This only works untill the next reboot.
114730,1.7,After a reboot the directory /var/run/aide is missing again.
114730,1.8,TESTCASE 1.
114730,1.9,install aide 2.
114730,1.10,reboot system 3.
114730,1.11,manually invoke the aide cron job: $ sudo /etc/cron.daily/aide if the cronjob aborts right away_DOUHAO_ then the test has failed.
114730,2.1,The problem is in /etc/cron.daily/aide after line 39 TMPBASE="/var/run/aide" add: if [ ?
114730,2.2,-d $TMPBASE ] ; then # TMPBASE does not exist_DOUHAO_ create it mkdir $TMPBASE; fi Or patch it with the attached aide.patch
114730,3.1,Setting of restrictive file permissions would be also a good thing.
114730,4.1,This has been fixed in 0.13.1 Thanks for your report and feel free to submit any new bug.
114730,5.1,Hello_DOUHAO_ I am running a server on Hardy_DOUHAO_ with the 0.13.1-8 version of Aide_DOUHAO_ and I still get this mail.
114730,6.1,Storm_DOUHAO_ this is strange because the directory /var/run/aide is created during install by the postinst script.
114730,6.2,Can you check if /var/run/aide/ exists on your system ?
114730,7.1,No_DOUHAO_ I have to create it_DOUHAO_ and if I reboot my computer_DOUHAO_ I have to do this again.
114730,7.2,Furthemore_DOUHAO_ sometimes directory is deleted whereas I don't shutdown my computer :s I may narrow that I have done an update from a Dapper system_DOUHAO_ with its version of Aide (I don't remember its version number).
114730,8.1,Am Do_DOUHAO_ 17.
114730,8.2,Juli 2008 23:01:07 schrieb Jean-Baptiste Lallement:
114730,8.3,> Storm_DOUHAO_ this is strange because the directory /var/run/aide is created > during install by the postinst script.
114730,8.4,> > Can you check if /var/run/aide/ exists on your system ?
114730,8.5,I added a test for the /var/run/aide directory to /etc/cron.daily/aide ---8<--- TMPBASE="/var/run/aide" if [ ?
114730,8.6,-d $TMPBASE ] ; then # TMPBASE does not exist_DOUHAO_ create it mkdir $TMPBASE; fi LOCKFILE="$TMPBASE/cron.daily.lock" ---8<--- regards_DOUHAO_ thomas
114730,9.1,I'm marking it back to confirmed because even if the /var/run/aide directory is created during install_DOUHAO_ there are cases where it doesn't exist anymore at run time.
114730,9.2,I haven't found how this could happen but the proposed patch is harmless.
114730,10.1,Here is the debdiff to fix this issue.
114730,11.1,@Jean-Baptiste: The reason /var/run/aide no longer exists after rebooting is that in 8.04_DOUHAO_ /var/run is mounted as a tmpfs filesystem and has no backing store on disk.
114730,11.2,It would be great if we could roll this fix into the SRU update for aide that includes bug 157858 as well.
114730,11.3,Thanks!
114730,13.1,I briefly reviewed the debdiff and it seems that the script will hit 'cantcreatebase' if the directory does exist.
114730,13.2,Jean-Baptiste_DOUHAO_ can you comment/update the patch?
114730,14.1,On Mon_DOUHAO_ Sep 15_DOUHAO_ 2008 at 05:29:46PM -0000_DOUHAO_ Jamie Strandboge wrote:
114730,14.2,> I briefly reviewed the debdiff and it seems that the script will hit > 'cantcreatebase' if the directory does exist.
114730,14.3,I thought that too_DOUHAO_ but then both experimentation and the mkdir(1) manpage showed that mkdir -p won't return an error if the directory already exists (it will for other problems_DOUHAO_ such as EPERM).
114730,14.4,-- Steve Beattie <email address hidden> http://NxNW.org/~steve/
114730,15.1,So it does.
114730,15.2,Thanks Steve.
114730,15.3,Good work Jean-Baptiste.
114730,15.4,I have just now uploaded this to Intrepid.
114730,15.5,Thanks!
114730,16.1,Jean-Baptiste_DOUHAO_ can you also file a bug with Debian following https://wiki.ubuntu.com/Bugs/Upstream ?
114730,16.2,This will benefit Debian users with a tmpfs /var/run_DOUHAO_ as well as minimize out delta.
114730,16.3,Thanks!
114730,17.1,I'm sorry not coming back earlier.
114730,17.2,I've been quite busy.
114730,17.3,I've reported it there http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=501848
114730,19.1,Accepted into -proposed_DOUHAO_ please test and give feedback here.
114730,19.2,Please see https://wiki.ubuntu.com/Testing/EnableProposed for documentation how to enable and use -proposed.
114730,19.3,Thank you in advance!
114730,20.1,According to Jamie's comment this is fixed in intrepid.
114730,20.2,Please reopen if not.
114730,21.1,Successfully verified hardy-proposed: 0.13.1-8ubuntu1 in hardy-updates No /var/run/aide/ is present after package installation and reboot.
114730,21.2,0.13.1-8ubuntu3 in hardy-proposed The /var/run/aide/ directory now exists following installation and the directory is successfully recreated by the cron.daily/aide job.
114730,22.1,The fix for this in aide 0.13.1-8ubuntu3 has now been released in hardy-updates; marking as closed as the changelog had a typo for the bugnumber so this bug wasn't automatically closed
11615,1.1,If I insert an audio CD_DOUHAO_ gnome-cd runs automatically and plays the CD just fine.
11615,1.2,However if I start it from the menu_DOUHAO_ it is unable to access the device and says "Drive error".
11615,1.3,If I go into the preferences_DOUHAO_ it is detecting the CD device correctly.
11615,1.4,If I create a /dev/cdrom link to the actual device (/dev/hdc)_DOUHAO_ this fixes the problem and gnome-cd works as it should_DOUHAO_ but surely it should be able to detect and work with /dev/hdc?
11615,1.5,I'm running Hoary.
11615,1.6,-- System Information: Debian Release: 3.1 Architecture: i386 (i686) Kernel: Linux 2.6.9-1-686 Locale: LANG=en_GB_DOUHAO_ LC_CTYPE=en_GB (charmap=ISO-8859-1)
11615,1.7,Versions of packages gnome-media depends on
11615,1.8,-- no debconf information
11615,1.9,http://bugzilla.gnome.org/show_bug.cgi?id=168370: http://bugzilla.gnome.org/show_bug.cgi?id=168370
11615,2.1,it works here even without /dev/cdrom.
11615,2.2,Do you have the same issue if you run gnome-cd from a console ?
11615,2.3,Do you have any output ?
11615,3.1,Yes_DOUHAO_ the same happens when run from a console.
11615,3.2,I get the following output: WARNING **: Error opening CD
11615,4.1,do you still get this bug with the current versions ?
11615,5.1,Same problem for me_DOUHAO_ with gnome-media 2.9.90-0ubuntu1
11615,6.1,I've opened a bug upstream about this: http://bugzilla.gnome.org/show_bug.cgi?id=168370
11615,7.1,Just to confirm that I am still getting the same problem with the current version.
11615,8.1,this bug is fixed upstream
11615,9.1,this upload fixes the issue: gnome-media (2.10.1-0ubuntu1) hoary; urgency=low .
11615,9.2,* New upstream version: - fix gnome-cd start from the menu (Hoary: #5167).
11615,10.1,(In reply to comment #8)
11615,10.2,> this upload fixes the issue: > > gnome-media (2.10.1-0ubuntu1) hoary; urgency=low > .
11615,10.3,> * New upstream version: > > - fix gnome-cd start from the menu (Hoary: #5167).
11615,10.4,>
11615,10.5,I'm still seeing this issue.
11615,10.6,See the console log below.
11615,10.7,bugs 36 /home/brian> dpkg -l gnome-media Desired=Unknown/Install/Remove/Purge/Hold | Status=Not/Installed/Config-files/Unpacked/Failed-config/Half-installed |/ Err?=(none)/Hold/Reinst-required/X=both-problems (Status_DOUHAO_Err: uppercase=bad) ||/ Name Version Description +++-=======================-=======================-============================================================== ii gnome-media 2.10.1-0ubuntu1 Gnome 2 Media Utilities bugs 37 /home/brian> gnome-cd ** (gnome-cd:13263): WARNING **: Error opening CD At this point the UI says "Drive Error".
11615,10.8,If I eject the disc and reload it_DOUHAO_ the CD player starts and runs OK.
11615,10.9,While the UI says "Drive Error"_DOUHAO_ right-clicking in the track window will cause the app to crash.
11615,11.1,do you still have this issue?
11615,11.2,can you provide a backtrace of the crash (you can get if from the dialog to send to bug upstream)?
11615,12.1,*** Bug 18240 has been marked as a duplicate of this bug.
11615,12.2,***
11615,13.1,I can confirm that I am seeing exactly the same behaviour as reported by Brian with a fully updated Hoary installation.
11615,13.2,Here's the backtrace for the crash: (no debugging symbols found) Using host libthread_db library "/lib/tls/i686/cmov/libthread_db.so.1".
11615,13.3,(no debugging symbols found) `system-supplied DSO at 0xffffe000' has disappeared; keeping its symbols.
11615,13.4,(no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) [Thread debugging using libthread_db enabled] [New Thread -1223108000 (LWP 8712)] (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) (no debugging symbols found) 0xffffe410 in __kernel_vsyscall () #0 0xffffe410 in __kernel_vsyscall () #1 0xb7469463 in __waitpid_nocancel () from /lib/tls/i686/cmov/libpthread.so.0 #2 0xb7e21d97 in libgnomeui_module_info_get () from /usr/lib/libgnomeui-2.so.0 #3 <signal handler called> #4 0x080512cc in make_popup_menu () #5 0x08054ecb in button_press_event_cb () #6 0xb7a0bbca in _gtk_marshal_BOOLEAN__BOXED () from /usr/lib/libgtk-x11-2.0.so.0 #7 0xb7436351 in g_closure_invoke () from /usr/lib/libgobject-2.0.so.0 #8 0xb74467e2 in g_signal_emit_by_name () from /usr/lib/libgobject-2.0.so.0 #9 0xb74456ef in g_signal_emit_valist () from /usr/lib/libgobject-2.0.so.0 #10 0xb7445b75 in g_signal_emit () fro_DOUHAO_
11615,14.1,does anybody has this issue with breezy?
11615,14.2,can you get a debug backtrace?
11615,15.1,(In reply to comment #13)
11615,15.2,> does anybody has this issue with breezy?
11615,15.3,can you get a debug backtrace?
11615,15.4,yes on breezy with gnome-media 2.11.5-0ubuntu1 it doesn't recognize /dev/hdc even worser is that if i right-click into the "LCD"fiels gnome-cd crashes Backtrace was generated from '/usr/bin/gnome-cd' (no debugging symbols found) Using host libthread_db library "/lib/tls/i686/cmov/libthread_db.so.1".
11615,15.5,(no debugging symbols found) `system-supplied DSO at 0xffffe000' has disappeared; keeping its symbols.
11615,16.1,gnome-cd --device=/dev/hdc works but its very hacky in playback.
11615,16.2,seems there is some issue in the gst-paranoia a quick pipeline in gst-editor played back the cd in the same disturbed way.
11615,16.3,is there a bug in gst-paranoia with ide-cdrom interface ?
11615,16.4,tried kernel 2.6.10-5 and 2.6.12-3.3 may be ky laptops sis630 chipset or the old toshiba slimline dvd-rom SD-C2502 won't work properly and conflict with soundcard
11615,17.1,the issue exists also with released gnome-media 2.6.12 are there any previous patches gone into nirvana?
11615,18.1,(In reply to comment #16)
11615,18.2,> the issue exists also with released gnome-media 2.6.12
11615,18.3,there is no such version of the gnome-media package
11615,19.1,http://bugzilla.gnome.org/show_bug.cgi?id=168370 states the bug was fixed since 2005-03-20 13:53 UTC.
11636,1.1,When trying to load the mISDN stack in 2.6.10 it oopes on my system.
11636,1.2,Attached are two decoded oopses.
11636,1.3,One produced when the driver is loaded as described in the ubuntu IsdnHowto (http://www.ubuntulinux.org/wiki/IsdnHowto) and one when it's modprobed manually (modprobe avmfritz).
11636,2.1,Created an attachment (id=988) Oops when following the IsdnHowto Produced with ksymoops on the running 2.6.10 system
11636,3.1,Created an attachment (id=989) oops after manually modprobe avmfritz Oops decoded on the running 2.6.10 system.
11636,4.1,The problem happens with a: AVM Audiovisuelles MKTG & Computer System GmbH A1 ISDN [Fritz] (rev 02) controller.
11636,5.1,Created an attachment (id=998) the output of modprobe avmfritz with the debugging activated This is the inital output.
11636,5.2,If I try to insmod a second time the system hangs hard.
11636,6.1,Guys did either you or ogra contacted upstream as we agreed on irc?
11636,7.1,(In reply to comment #5)
11636,7.2,> Guys did either you or ogra contacted upstream as we agreed on irc?
11636,7.3,The question was asked on the isdn4linux mailinglist (at least) four times already without any reply.
11636,7.4,I think we should go with dokos new binary-only "offical" avm drivers.
11636,7.5,I tested them and they work for me(tm).
11636,7.6,thanks_DOUHAO_ Michael
11636,8.1,Ok i think it is wise to drop the mISDN completely since upstream is dead.
11636,8.2,Reasons: a) upstream is dead b) we cannot commit something that it is already broken c) it can be replaced by the binary drivers.
11636,8.3,Matt?
11636,9.1,(In reply to comment #7)
11636,9.2,> Ok i think it is wise to drop the mISDN completely since upstream is dead.
11636,9.3,
11636,9.4,Reasons:
11636,9.5,> > a) upstream is dead > b) we cannot commit something that it is already broken > c) it can be replaced by the binary drivers.
11636,9.6,> > Matt?
11636,9.7,If it is unsupported upstream_DOUHAO_ it must be removed.
11636,9.8,How did it get added to our kernel in the first place if upstream is dead?
11636,10.1,port-forwarded from warty_DOUHAO_
11636,11.1,Fixed in 2.6.10-10 that will be available soon in the archive.
11636,12.1,that's a misunderstanding a) it's not dead upstream b) currently building with misdn-2005-02-25 to check for the failures c) it supports hardware_DOUHAO_ that is not supported by the proprietary avm drivers reopening the report
11636,13.1,Created an attachment (id=1541) patch_DOUHAO_ enabling mISDN_DOUHAO_ disabling avmfritz
11636,14.1,the attached patch - updates mISDN to a recent snapshot - enables the build of the mISDN modules - doesn't build the avmfritz module the oops is still reproducible with the snapshot_DOUHAO_ however it works without problems with the hfcpci driver.
11636,14.2,the change is local one_DOUHAO_ please consider it after the preview release.
11636,15.1,Is this bug still present in Breezy?
11636,16.1,We don't ship misdn in current breezy/dapper.
12079,1.1,The battery state of my notebook (Acer Travelmate 4000LMi) is not shown because it needs another driver (the standard acpi driver doesn't support the interface for the Smart Battery System).
12079,1.2,You can find a driver for it (two modules and a kernel patch) at http://sourceforge.net/mailarchive/forum.php?thread_id=6354144&forum_id=6102
12079,1.3,I hope it will be included in Ubuntu soon.
12079,1.4,http://sourceforge.net/mailarchive/forum.php?thread_id=6354144&forum_id=6102: http://sourceforge.net/mailarchive/forum.php?thread_id=6354144&forum_id=6102
12079,2.1,Hi Matthew_DOUHAO_ i saw you are partecipating in the discussion mentioned in the bug.
12079,2.2,What is the status for this driver?
12079,2.3,(aka is it safe for inclusion?)
12079,3.1,Probably_DOUHAO_ but currently there's no userspace support.
12079,3.2,gnome-battery-applet will need a patch to support smart batteries as well as control method ones.
12079,4.1,(In reply to comment #2)
12079,4.2,> Probably_DOUHAO_ but currently there's no userspace support.
12079,4.3,gnome-battery-applet will > need a patch to support smart batteries as well as control method ones.
12079,4.4,I've not tested the patch but the author of the patch says that the driver also supports the standard acpi interface in /proc/acpi/battery (the old module of acpi has to be unloaded before loading the new driver).
12079,4.5,He only recommends to use the new interface because it also supports the special features of smart batteries.
12079,5.1,The legacy interface is only available if the control method battery support isn't built.
12079,5.2,Most machines have a control method battery_DOUHAO_ so we need to ship with that switched on.
12079,6.1,(In reply to comment #4)
12079,6.2,> The legacy interface is only available if the control method battery support > isn't built.
12079,6.3,Most machines have a control method battery_DOUHAO_ so we need to ship > with that switched on.
12079,6.4,Yes_DOUHAO_ I thought it would be possible to unload the legacy modules to get the legacy interface of sbs working.
12079,6.5,But it seems that also as unloaded but installed modules both drivers conflict if sbs uses the legacy interface.
12079,7.1,For what i can read and understand this is not ready for inclusion.
12079,7.2,It will wait after hoary and when the driver will be included in the standard kernel.
12079,8.1,(In reply to comment #6)
12079,8.2,> For what i can read and understand this is not ready for inclusion.
12079,8.3,> It will wait after hoary and when the driver will be included in the standard > kernel.
12079,8.4,I disagree.
12079,8.5,I think acpi-sbs should be included but without support for the legacy interface.
12079,8.6,It's possible to see the battery state in /proc/acpi/sbs.
12079,8.7,That isn't user-friendly but better than nothing.
12079,8.8,And if there is a better interface available in future_DOUHAO_ you can install and use it without patching the default hoary kernel.
120833,1.1,The default URL handler installed with the urlview package uses www-browser as a first attempt at running a browser to handle a HTTP URL.
120833,1.2,The problem with this approach is that www-browser always corresponds with the system-wide default browser_DOUHAO_ even if the user has set the BROWSER environment variable.
120833,1.3,On the other hand_DOUHAO_ sensible-browser respects the user's configuration_DOUHAO_ and runs the program indicated by the BROWSER environment variable.
120833,1.4,In my case_DOUHAO_ I have BROWSER set to w3m_DOUHAO_ and a friend installed elinks on the system.
120833,1.5,Suddenly_DOUHAO_ urlview started running elinks for me instead of w3m.
120833,1.6,I shouldn't have to change the system-wide configuration to fix this_DOUHAO_ should I?
120833,1.7,In some cases_DOUHAO_ I might not have access.
120833,1.8,Things would be better if urlview respected $BROWSER.
120833,2.1,Someone should change this to wishlist.
120833,3.1,I don't believe this should be wishlist.
120833,3.2,Not respecting user preferences is a defect.
120833,5.1,man 1 urlview: The BROWSER environment variable is honored only if the rc-file doesn’t contain the COMMAND option.
120833,6.1,Hi Emanuele_DOUHAO_ Thanks for your attention to this issue.
120833,6.2,I hope you won't mind if I attempt to defend my position: This is a usability issue with the default configuration that would be easy to fix.
120833,6.3,Using sensible-browser is standard practice for Debian systems_DOUHAO_ and saves users from having to customize configuration files for every package out there that might want to launch a WWW browser.
120833,6.4,Mentioning the bug in the man page doesn't make it not a bug_DOUHAO_ does it?
120833,6.5,The default configuration should either use sensible-browser_DOUHAO_ or not specify COMMAND at all_DOUHAO_ for the sake of honoring user preferences.
120833,7.1,Hi_DOUHAO_ I'm happy to hear your opinion.
120833,7.2,:-) $BROWSER is not ignored.
120833,7.3,You can override it through the COMMAND configuration option_DOUHAO_ which can be placed in the configuration file (global or per-user)_DOUHAO_ and that's clearly stated in the man page.
120833,7.4,http://bugs.debian.org/212789 explains why this logic has been introduced.
120833,7.5,Probably the confusing thing is just that the default config file provided by the Debian package specifies COMMAND.
120833,7.6,If you think so_DOUHAO_ I can upload a new revision with COMMAND commented out.
120833,7.7,Let me know.
120833,8.1,Hi_DOUHAO_ $BROWSER is conditionally ignored_DOUHAO_ and the condition is that COMMAND is set in the config file.
120833,8.2,It is set by default_DOUHAO_ so BROWSER is ignored by default.
120833,8.3,More importantly: I don't think that COMMAND should be commented by default.
120833,8.4,I think it should be set to sensible-browser by default.
120833,8.5,More importantly_DOUHAO_ I still haven't heard a reason _not_ to use sensible-browser instead of www-browser as the default for COMMAND.
120833,8.6,I believe using sensible-browser not only solves my issue_DOUHAO_ but also addresses those issues raised at http://bugs.debian.org/212789 .
120833,9.1,* Forest Bond <email address hidden>_DOUHAO_ [2007-07-24 18:06 -0000]:
120833,9.2,> I don't think that COMMAND should be commented by default.
120833,9.3,I think it > should be set to sensible-browser by default.
120833,9.4,> > More importantly_DOUHAO_ I still haven't heard a reason _not_ to use sensible- > browser instead of www-browser as the default for COMMAND.
120833,9.5,I believe > using sensible-browser not only solves my issue_DOUHAO_ but also addresses > those issues raised at http://bugs.debian.org/212789 .
120833,9.6,Sounds reasonable.
120833,9.7,I'll upload to Debian sid a new revision of urlview which uses sensible browser rather than {x-_DOUHAO_}www-browser in url_handler.sh_DOUHAO_ without changing the default global config file.
120833,9.8,Thanks for your suggestions.
120833,9.9,ciao_DOUHAO_ ema
120833,10.1,http://www.alittletooquiet.net On Wed_DOUHAO_ Jul 25_DOUHAO_ 2007 at 10:39:15AM -0000_DOUHAO_ Emanuele Rocca wrote:
120833,10.2,> * Forest Bond <email address hidden>_DOUHAO_ [2007-07-24 18:06 -0000]: > > I don't think that COMMAND should be commented by default.
120833,10.3,I think it > > should be set to sensible-browser by default.
120833,10.4,> > > > More importantly_DOUHAO_ I still haven't heard a reason _not_ to use sensible- > > browser instead of www-browser as the default for COMMAND.
120833,10.5,I believe > > using sensible-browser not only solves my issue_DOUHAO_ but also addresses > > those issues raised at http://bugs.debian.org/212789 .
120833,10.6,> > Sounds reasonable.
120833,10.7,I'll upload to Debian sid a new revision of urlview > which uses sensible browser rather than {x-_DOUHAO_}www-browser in > url_handler.sh_DOUHAO_ without changing the default global config file.
120833,10.8,Err _DOUHAO_ right_DOUHAO_ that's what I meant :) thanks_DOUHAO_ Forest -- Forest Bond
120833,11.1,This has been fixed in 0.9-17.
120833,11.2,Closing.
120833,11.3,urlview (0.9-17) unstable; urgency=low * Use sensible-browser rather than www-browser in url_handler.sh.
120833,11.4,* Updated Standards-Version.
120833,11.5,-- Emanuele Rocca <email address hidden> Sun_DOUHAO_ 29 Jul 2007 15:41:17 +0200 Thanks for your time.
123848,1.1,Binary package hint: compiz
123848,1.2,this is sure a duplicated bug.
123848,1.3,sorry.
123848,1.4,thanks guys
